"name","genres","director","actor1","actor2","actor3","color","plotkey","language","year","score"
"Hoodwinked! ","Action|Animation|Comedy|Crime|Family","Cory Edwards","Anne Hathaway","Chazz Palminteri","Jim Belushi","Color","animal|axe|red riding hood|wolf|woodsman","English",2005,6.5
"Let's Be Cops ","Comedy","Luke Greenfield","Rob Riggle","Damon Wayans Jr.","James D'Arcy","Color","friendship between men|impersonating a police officer|mobster|party|police officer","English",2014,6.5
"Evil Dead ","Horror","Fede Alvarez","Lou Taylor Pucci","Elizabeth Blackmore","Ellen Sandweiss","Color","book of the dead|demon|h.p. lovecraft|lesbian kiss|promise","English",2013,6.5
"Fur: An Imaginary Portrait of Diane Arbus ","Biography|Drama|Romance","Steven Shainberg","Robert Downey Jr.","Ty Burrell","Matt Servitto","Color","character name in title|diane arbus|male full frontal nudity|photographer|pubic hair","English",2006,6.5
"Road Trip ","Comedy","Todd Phillips","Ethan Suplee","Rachel Blanchard","Paulo Costanzo","Color","blonde|college|friend|highway travel|road trip","English",2000,6.5
"Madison ","Drama|Sport","William Bindley","Bruce Dern","Jake Lloyd","William Shockley","Color","boat racing|hydroplane|loyalty|one word title|scolding","English",2001,6.5
"Slither ","Comedy|Horror|Sci-Fi","James Gunn","Dustin Milligan","Gregg Henry","Tania Saulnier","Color","alien|b movie|sex|slug|small town","English",2006,6.5
"Snitch ","Action|Drama|Thriller","Ric Roman Waugh","Dwayne Johnson","Harold Perrineau","Nadine Velazquez","Color","cigarette smoking|dea|drugs|inspired by true events|undercover","English",2013,6.5
"Jakob the Liar ","Drama|War","Peter Kassovitz","Robin Williams","Mark Margolis","Michael Jeter","Color","german|ghetto|hope|nazi|radio","English",1999,6.5
"Funny Games ","Crime|Drama|Horror|Thriller","Michael Haneke","Naomi Watts","Siobhan Fallon Hogan","Brady Corbet","Color","breaking the fourth wall|looking at the camera|remake|serial killer|violence","English",2007,6.5
"A Perfect Getaway ","Adventure|Mystery|Thriller","David Twohy","Chris Hemsworth","Milla Jovovich","Marley Shelton","Color","cliff|hawaii|island|newlywed|waterfall","English",2009,6.5
"Caravans ","Action|Adventure|History","James Fargo","Christopher Lee","Joseph Cotten","Behrouz Vossoughi","Color","afghanistan|caravan|rebel|russian|tribe","English",1978,6.5
"Margaret ","Drama","Kenneth Lonergan","Matt Damon","Kieran Culkin","John Gallagher Jr.","Color","accident|bus|loss of virginity|new york city|virginity","English",2011,6.5
"Crazy/Beautiful ","Drama|Romance","John Stockwell","Kirsten Dunst","Jay Hernandez","Rolando Molina","Color","congressman|high school|latino|pacific palisades|school","English",2001,6.5
"The Claim ","Drama|Romance|Western","Michael Winterbottom","Milla Jovovich","Sarah Polley","Shirley Henderson","Color","gold|gold mine|miner|railroad|surveyor","English",2000,6.5
"Act of Valor ","Action|Adventure|Drama|Thriller|War","Mike McCoy","Alex Veadov","Jason Cottle","Rorke Denver","Color","mission|navy seal|terrorist|torture|valor","English",2012,6.5
"Step Up ","Crime|Drama|Music|Romance","Anne Fletcher","Channing Tatum","Alyson Stoner","Josh Henderson","Color","dance|dancer|school|showcase|student","English",2006,6.5
"Top Five ","Comedy|Romance","Chris Rock","Rosario Dawson","Romany Malco","J.B. Smoove","Color","bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk","English",2014,6.5
"In the Land of Women ","Comedy|Drama|Romance","Jon Kasdan","Kristen Stewart","Elena Anaya","Dustin Milligan","Color","actress|love|michigan|neighbor|writer","English",2007,6.5
"Recess: School's Out ","Animation|Comedy|Family|Mystery|Sci-Fi","Chuck Sheetz","Diedrich Bader","Andrew Lawrence","Dabney Coleman","Color","friend|principal|summer|summer camp|summer vacation","English",2001,6.5
"Twilight Zone: The Movie ","Fantasy|Horror|Sci-Fi","Joe Dante","Albert Brooks","Al Leong","Vic Morrow","Color","1940s|1960s|bar|kick the can|remake","English",1983,6.5
"Road House ","Action|Thriller","Rowdy Herrington","Ben Gazzara","Kevin Tighe","Kelly Lynch","Color","bikini|cult film|fired from the job|martial arts|violence","English",1989,6.5
"Can't Hardly Wait ","Comedy|Romance","Harry Elfont","Ethan Embry","Lauren Ambrose","Charlie Korsmo","Color","graduation|high school|letter|nerd|party","English",1998,6.5
"Mo' Better Blues ","Drama|Music|Romance","Spike Lee","Denzel Washington","Nicholas Turturro","Charlie Murphy","Color","comeback|friend|jazz|stage|trumpet","English",1990,6.5
"Drop Dead Gorgeous ","Comedy|Romance|Thriller","Michael Patrick Jann","Kirsten Dunst","Kirstie Alley","Ellen Barkin","Color","beauty pageant|blonde|cheerleader uniform|small town|upskirt","English",1999,6.5
"Jeff, Who Lives at Home ","Comedy|Drama","Jay Duplass","Judy Greer","Evan Ross","Rae Dawn Chong","Color","basement|errand|secret admirer|slacker|wrong number","English",2011,6.5
"Bamboozled ","Comedy|Drama|Music","Spike Lee","Gillian White","Michael Rapaport","Jada Pinkett Smith","Color","actor|minstrel show|protest|success|writer","English",2000,6.5
"The Joneses ","Comedy|Drama","Derrick Borte","Demi Moore","Gary Cole","Robert Pralgo","Color","envy|fake family|gadget|materialism|unhappy marriage","English",2009,6.5
"Elsa & Fred ","Comedy|Drama|Romance","Michael Radford","Chris Noth","Jared Gilman","James Brolin","Color","apartment|death of protagonist|follow that car|la dolce vita|love","English",2014,6.5
"Gunless ","Action|Comedy|Drama|Western","William Phillips","Tyler Mane","Callum Rennie","Dustin Milligan","Color","blacksmith|bounty hunter|duel|gunslinger|wild west","English",2010,6.5
"Child's Play ","Fantasy|Horror","Tom Holland","Catherine Hicks","Alex Vincent","Dinah Manoff","Color","birthday|doll|murder|serial killer|voodoo","English",1988,6.5
"The Purge: Anarchy ","Action|Horror|Sci-Fi|Thriller","James DeMonaco","Noel Gugliemi","Zach Gilford","Roberta Valderrama","Color","held at gunpoint|machete|masked man|sequel|violence","English",2014,6.5
"PCU ","Comedy","Hart Bochner","Jon Favreau","Matt Ross","Chris Young","Color","college|high school senior|meat|protest|university","English",1994,6.5
"Veronika Decides to Die ","Drama|Romance","Emily Young","Sarah Michelle Gellar","Erika Christensen","Jonathan Tucker","Color","boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex","English",2009,6.5
"Crocodile Dundee ","Adventure|Comedy","Peter Faiman","Paul Hogan","Linda Kozlowski","David Gulpilil","Color","australian outback|crocodile|female reporter|journalist|new york city","English",1986,6.5
"Awake ","Crime|Mystery|Thriller","Joby Harold","Hayden Christensen","Fisher Stevens","Denis O'Hare","Color","anesthetic|anesthetic awareness|heart|heart surgery|surgery","English",2007,6.5
"The DUFF ","Comedy","Ari Sandel","Bella Thorne","Romany Malco","Skyler Samuels","Color","cartoon on tv|generation y|high school|overalls|strong female character","English",2015,6.5
"Footloose ","Drama|Music|Romance","Herbert Ross","Dianne Wiest","Chris Penn","Lori Singer","Color","church|cowboy boots|dancing|high school dance|teenager","English",1984,6.5
"Brown Sugar ","Comedy|Drama|Music|Romance","Rick Famuyiwa","Boris Kodjoe","Sanaa Lathan","Wendell Pierce","Color","basketball|hip hop|rap music|record company|writer","English",2002,6.5
"The Good Girl ","Drama|Romance","Miguel Arteta","Jake Gyllenhaal","Zooey Deschanel","Tim Blake Nelson","Color","dysfunctional marriage|marijuana|small town|store|trying to conceive","English",2002,6.5
"The Inkwell ","Comedy|Drama|Romance","Matty Rich","Jada Pinkett Smith","Joe Morton","Larenz Tate","Color","fire|marriage|martha's vineyard|teenager|vacation","English",1994,6.5
"Down in the Valley ","Drama|Romance|Thriller","David Jacobson","Hunter Parrish","Bruce Dern","Rory Culkin","Color","beach|cowboy|cowboy hat|neo western|valley","English",2005,6.5
"The Blood of Heroes ","Action|Sci-Fi|Sport","David Webb Peoples","Delroy Lindo","Joan Chen","Anna Katarina","Color","battle|blood splatter|combat|game|showdown","English",1989,6.5
"The Claim ","Drama|Romance|Western","Michael Winterbottom","Milla Jovovich","Sarah Polley","Shirley Henderson","Color","gold|gold mine|miner|railroad|surveyor","English",2000,6.5
"The Other Side of Heaven ","Adventure|Biography|Drama","Mitch Davis","Anne Hathaway","Nathaniel Lees","Miriama Smith","Color","1950s|idaho|love|missionary|mormon","English",2001,6.5
"The Mighty Macs ","Drama|Sport","Tim Chambers","Ellen Burstyn","Marley Shelton","Jennifer Butler","Color","basketball|catholic|coach|college|nun","English",2009,6.5
"Freeheld ","Biography|Drama|Romance","Peter Sollett","Steve Carell","Josh Charles","Luke Grimes","Color","cancer|gay bar|lesbian kiss|partner|public hearing","English",2015,6.5
"Remember Me, My Love ","Comedy|Drama|Romance","Gabriele Muccino","Laura Morante","Silvio Muccino","Giulia Michelini","Color","box office hit|dancer|sex scene|television|underage sex","Italian",2003,6.5
"Tracker ","Action|Adventure|Drama|Western","Ian Sharp","Ray Winstone","Jed Brophy","Temuera Morrison","Color","one word title","English",2010,6.5
"Dolphins and Whales 3D: Tribes of the Ocean ","Adventure|Documentary|Short","Jean-Jacques Mantello","Charlotte Rampling","Daryl Hannah","","Color","3d in title|animal in title|digit in title|dolphin|manatee","English",2008,6.5
"Freaky Deaky ","Comedy|Crime|Thriller","Charles Matthau","Billy Burke","Michael Jai White","Bill Duke","","black panties|bomb squad|car bomb|dynamite|girl in panties","English",2012,6.5
"Oculus ","Horror|Mystery","Mike Flanagan","James Lafferty","Rory Cochrane","Garrett Ryan","Color","home office|mirror|released from a mental hospital|trauma|video camera","English",2013,6.5
"The Awakening ","Horror|Thriller","Nick Murphy","Isaac Hempstead Wright","Imelda Staunton","Joseph Mawle","Color","boarding school|boy|british horror|ghost|school","English",2011,6.5
"Life During Wartime ","Comedy|Drama","Todd Solondz","Rich Pecci","Shirley Henderson","Charlotte Rampling","Color","forgiveness|ghost|new jersey|pedophile|three sisters","English",2009,6.5
"Mean Machine ","Comedy|Drama|Sport","Barry Skolnick","Jason Statham","Jason Flemyng","Danny Dyer","Color","inmate|prison|prison guard|soccer|soccer star","English",2001,6.5
"Night Watch ","Fantasy|Thriller","Timur Bekmambetov","Konstantin Khabenskiy","Aleksey Chadov","Zhanna Friske","Color","battle|bridge|mother son relationship|supernatural power|vampire","Russian",2004,6.5
"You Kill Me ","Comedy|Crime|Romance|Thriller","John Dahl","Philip Baker Hall","Aaron Hughes","Jayne Eastwood","Color","alcoholic|buffalo new york|claim in title|embalming|mortuary","English",2007,6.5
"Stake Land ","Drama|Horror|Sci-Fi","Jim Mickle","Connor Paolo","Michael Cerveris","Nick Damici","Color","canada|post apocalypse|road movie|vampire|vampire hunter","English",2010,6.5
"Ira & Abby ","Comedy|Romance","Robert Cary","Frances Conroy","Fred Willard","Kevin Sussman","Color","erectile dysfunction|mugger|mugging|subway robbery|therapy","English",2006,6.5
"Choke ","Comedy|Drama","Clark Gregg","Anjelica Huston","Matt Gerald","Jonah Bobo","Color","choking|friend|hospital|restaurant|scam","English",2008,6.5
"Phantasm II ","Action|Fantasy|Horror|Sci-Fi|Thriller","Don Coscarelli","Angus Scrimm","A. Michael Baldwin","James Le Gros","Color","cemetery|female nudity|mortuary|sphere|tall man","English",1988,6.5
"Alice in Wonderland ","Adventure|Family|Fantasy","Tim Burton","Johnny Depp","Alan Rickman","Anne Hathaway","Color","alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion","English",2010,6.5
"Boynton Beach Club ","Comedy|Romance","Susan Seidelman","Dyan Cannon","Michael Nouri","Brenda Vaccaro","Color","title spoken by character","English",2005,6.5
"Bathing Beauty ","Comedy|Musical","George Sidney","Esther Williams","Basil Rathbone","Red Skelton","Color","college|teacher|theatrical producer|tutu|wedding","English",1944,6.5
"Shortbus ","Comedy|Drama|Romance","John Cameron Mitchell","Sook-Yin Lee","Peter Stickles","Raphael Barker","Color","controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex","English",2006,6.5
"Meek's Cutoff ","Drama|Western","Kelly Reichardt","Bruce Greenwood","Zoe Kazan","Shirley Henderson","Color","desert|oregon|survival|trust|water","English",2010,6.5
"Subway ","Comedy|Drama|Thriller","Luc Besson","Christopher Lambert","Isabelle Adjani","Jean-Hugues Anglade","Color","band|blackmail|safe|subway|train","French",1985,6.5
"Killing Zoe ","Crime|Drama|Thriller","Roger Avary","Eric Stoltz","Salvator Xuereb","Jean-Hugues Anglade","Color","bank|bastille day|call girl|childhood friend|drugs","English",1993,6.5
"Session 9 ","Horror|Mystery","Brad Anderson","Paul Guilfoyle","Brendan Sexton III","Larry Fessenden","Color","abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality","English",2001,6.5
"Stolen Summer ","Drama","Pete Jones","Brian Dennehy","Aidan Quinn","Bonnie Hunt","Color","catholic|catholicism|rabbi|school|summer","English",2002,6.5
"Batman: The Movie ","Adventure|Comedy|Family","Leslie H. Martinson","Burgess Meredith","Cesar Romero","Burt Ward","Color","black cat|catwoman|dc comics|penguin|riddler","English",1966,6.5
"The Basket ","Drama","Rich Cowan","Eric Dane","Karen Allen","Peter Coyote","Color","basketball|german immigrant|opera|two word title|war orphan","English",1999,6.5
"The Blue Bird ","Drama|Family|Fantasy","Walter Lang","Spring Byington","Nigel Bruce","Gale Sondergaard"," Black and White","1800s|bird|blue bird of happiness|foreign language adaptation|past","English",1940,6.5
"The Poker House ","Drama","Lori Petty","Jennifer Lawrence","Chloë Grace Moretz","Bokeem Woodbine","Color","basketball|drug abuse|interracial rape|iowa|tween girl","English",2008,6.5
"Snitch ","Action|Drama|Thriller","Ric Roman Waugh","Dwayne Johnson","Harold Perrineau","Nadine Velazquez","Color","cigarette smoking|dea|drugs|inspired by true events|undercover","English",2013,6.5
"Deterrence ","Drama|Thriller","Rod Lurie","Kevin Pollak","Kathryn Morris","Timothy Hutton","Color","colorado|diner|iraq|nuclear missile|president","English",1999,6.5
"Naturally Native ","Drama","Jennifer Wynne Farmer","Irene Bedard","Akima","Max Gail","Color","cosmetics|female protagonist|native american|native american protagonist|sister sister relationship","English",1998,6.5
"Hav Plenty ","Comedy","Christopher Scott Cherot","Hill Harper","Robinne Lee","Chenoa Maxwell","Color","friend|new year's eve|screwball|self discovery|social differences","English",1997,6.5
"The Kentucky Fried Movie ","Comedy","John Landis","David Zucker","Barry Dennen","Tara Strohmeier","Color","fake commercial|fake newscast|fake trailer|parody|spoof","English",1977,6.5
"Fireproof ","Drama|Romance","Alex Kendrick","Kirk Cameron","Ken Bevel","Erin Bethea","Color","christian film|dare|firefighter|internet pornography|marriage","English",2008,6.5
"Groove ","Drama|Music","Greg Harrison","Rachel True","Ari Gold","Denny Kirkwood","Color","dj|ecstasy the drug|rave|raver|warehouse","English",2000,6.5
"Hurricane Streets ","Crime|Drama|Romance","Morgan J. Freeman","Edie Falco","Heather Matarazzo","Lynn Cohen"," Black and White","gang|new mexico|prison|smuggling|theft","English",1997,6.5
"The Living Wake ","Comedy","Sol Tryon","Jim Gaffigan","Ann Dowd","Matthew Cowles","Color","artist|black comedy","English",2007,6.5
"The Incredibly True Adventure of Two Girls in Love ","Comedy|Drama|Romance","Maria Maggenti","Nicole Ari Parker","Laurel Holloman","Stephanie Berry","Color","caught having sex|class|friend|lesbian|lesbian sex","English",1995,6.5
"Little Big Top ","Comedy","Ward Roberts","Sid Haig","Jacob Zachar","Travis Betz","Color","amateur|circus|clown|unconsciousness|urination","English",2006,6.5
"She Done Him Wrong ","Comedy|Drama|History|Musical|Romance","Lowell Sherman","Mae West","Gilbert Roland","Louise Beavers"," Black and White","captain|marriage proposal|saloon|saloon singer|singer","English",1933,6.5
"Middle of Nowhere ","Drama","Ava DuVernay","Omari Hardwick","David Oyelowo","Lorraine Toussaint","Color","","English",2012,6.5
"Good Dick ","Comedy|Drama|Romance","Marianna Palka","Bryce Dallas Howard","Martin Starr","Jason Ritter","Color","avoidant personality disorder|emotionally vulnerable|sex|video store|video store clerk","English",2008,6.5
"She's Gotta Have It ","Comedy|Romance","Spike Lee","S. Epatha Merkerson","Joie Lee","Tracy Camilla Johns"," Black and White","female nudity|male model|nudity|rite of passage|sex","English",1986,6.5
"The World Is Mine ","Drama","Nicolae Constantin Tanase","Iulia Ciochina","Ana Maria Guran","Ana Vatamanu","Color","","Romanian",2015,6.5
"Down Terrace ","Comedy|Crime|Drama","Ben Wheatley","Michael Smiley","Tony Way","David Schaal","Color","black comedy","English",2009,6.5
"John Carter ","Action|Adventure|Sci-Fi","Andrew Stanton","Daryl Sabara","Samantha Morton","Polly Walker","Color","alien|american civil war|male nipple|mars|princess","English",2012,6.6
"The Chronicles of Narnia: Prince Caspian ","Action|Adventure|Family|Fantasy","Andrew Adamson","Peter Dinklage","Pierfrancesco Favino","Damián Alcázar","Color","brother brother relationship|brother sister relationship|good versus evil|king|narnia","English",2008,6.6
"Terminator Salvation ","Action|Adventure|Sci-Fi","McG","Christian Bale","Bryce Dallas Howard","Common","Color","death row|future|machine|rescue|skynet","English",2009,6.6
"Prince of Persia: The Sands of Time ","Action|Adventure|Fantasy|Romance","Mike Newell","Jake Gyllenhaal","Richard Coyle","Reece Ritchie","Color","alamut|dagger|king|persia|princess","English",2010,6.6
"The Legend of Tarzan ","Action|Adventure|Drama|Romance","David Yates","Christoph Waltz","Alexander Skarsgård","Casper Crump","Color","africa|capture|jungle|male objectification|tarzan","English",2016,6.6
"The Polar Express ","Adventure|Animation|Family|Fantasy","Robert Zemeckis","Tom Hanks","Eddie Deezen","Peter Scolari","Color","boy|christmas|christmas eve|north pole|train","English",2004,6.6
"The Hunger Games: Mockingjay - Part 2 ","Adventure|Sci-Fi","Francis Lawrence","Jennifer Lawrence","Philip Seymour Hoffman","Josh Hutcherson","Color","death of sister|dystopia|execution|rebellion|revolution","English",2015,6.6
"Terminator Genisys ","Action|Adventure|Sci-Fi","Alan Taylor","J.K. Simmons","Emilia Clarke","Matt Smith","Color","alternate timeline|cyborg|future|robot|time machine","English",2015,6.6
"The Legend of Tarzan ","Action|Adventure|Drama|Romance","David Yates","Christoph Waltz","Alexander Skarsgård","Casper Crump","Color","africa|capture|jungle|male objectification|tarzan","English",2016,6.6
"Armageddon ","Action|Adventure|Sci-Fi|Thriller","Michael Bay","Bruce Willis","Steve Buscemi","Will Patton","Color","asteroid|astronaut|bomb|meteorite|outer space","English",1998,6.6
"Lethal Weapon 4 ","Action|Crime|Thriller","Richard Donner","Jet Li","Rene Russo","Darlene Love","Color","kung fu|lapd|martial arts|private investigator|triad","English",1998,6.6
"Bad Boys II ","Action|Comedy|Crime|Thriller","Michael Bay","Will Smith","Henry Rollins","Jordi Mollà","Color","cuba|dea|drugs|money|undercover","English",2003,6.6
"Australia ","Adventure|Drama|Romance|War","Baz Luhrmann","Essie Davis","Bryan Brown","Eddie Baroo","Color","australia|cattle|darwin|drover|japanese","English",2008,6.6
"The Da Vinci Code ","Mystery|Thriller","Ron Howard","Tom Hanks","Seth Gabel","Jürgen Prochnow","Color","based on supposedly true story|holy grail|mary magdalene|opus dei|secret","English",2006,6.6
"The 13th Warrior ","Action|Adventure|History","John McTiernan","Tony Curran","Vladimir Kulich","Clive Russell","Color","arab|battle|combat|viking|warrior","English",1999,6.6
"Elysium ","Action|Drama|Sci-Fi|Thriller","Neill Blomkamp","Matt Damon","Sharlto Copley","Alice Braga","Color","christ figure|class differences|messiah|saviour|social commentary","English",2013,6.6
"Ice Age: Continental Drift ","Adventure|Animation|Comedy|Family","Steve Martino","Peter Dinklage","Josh Gad","Drake","Color","acorn|herd|iceberg|ocean|pirate","English",2012,6.6
"The Spiderwick Chronicles ","Adventure|Family|Fantasy","Mark Waters","Martin Short","Tod Fennell","Joan Plowright","Color","actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature","English",2008,6.6
"Rush Hour 2 ","Action|Comedy|Crime|Thriller","Brett Ratner","Mei Melançon","John Lone","Harris Yulin","Color","boat|gang|hong kong|triad|vacation","English",2001,6.6
"What Lies Beneath ","Drama|Fantasy|Horror|Mystery|Thriller","Robert Zemeckis","Harrison Ford","Amber Valletta","Miranda Otto","Color","ghost|haunted house|research|secret|vermont","English",2000,6.6
"It's Complicated ","Comedy|Drama|Romance","Nancy Meyers","Meryl Streep","Hunter Parrish","Zoe Kazan","Color","affair|divorce|graduation|vomiting|watching television","English",2009,6.6
"Eagle Eye ","Action|Mystery|Thriller","D.J. Caruso","Rosario Dawson","Ethan Embry","Cameron Boyce","Color","audio surveillance|death|pentagon|technology|twin brother","English",2008,6.6
"The Manchurian Candidate ","Drama|Mystery|Sci-Fi|Thriller","Jonathan Demme","Denzel Washington","Dorian Missick","Jose Pablo Cantillo","Color","brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier","English",2004,6.6
"Tears of the Sun ","Action|Drama|Thriller|War","Antoine Fuqua","Bruce Willis","Tom Skerritt","Cole Hauser","Color","dictator|doctor|jungle|rebel|refugee","English",2003,6.6
"Monster House ","Animation|Comedy|Family|Fantasy|Mystery","Gil Kenan","Steve Buscemi","Jon Heder","Catherine O'Hara","Color","babysitter|halloween|house|neighbor|suburb","English",2006,6.6
"Bandits ","Comedy|Crime|Drama|Romance","Barry Levinson","Bruce Willis","Brían F. O'Byrne","Azura Skye","Color","bank manager|hypochondriac|love triangle|prison|television","English",2001,6.6
"Hostage ","Action|Crime|Drama|Mystery|Thriller","Florent-Emilio Siri","Jimmy Bennett","Bruce Willis","Ransford Doherty","Color","california|hostage|hostage negotiator|organized crime|police","English",2005,6.6
"Titan A.E. ","Action|Adventure|Animation|Family|Sci-Fi","Don Bluth","Matt Damon","Janeane Garofalo","Nathan Lane","Color","alien|captain|escape|pilot|scientist","English",2000,6.6
"Talladega Nights: The Ballad of Ricky Bobby ","Action|Comedy|Sport","Adam McKay","Will Ferrell","Leslie Bibb","Gary Cole","Color","car racing|french|friend|nascar|racing","English",2006,6.6
"Ransom ","Crime|Thriller","Ron Howard","Lili Taylor","Delroy Lindo","Rene Russo","Color","bounty|fbi|millionaire|money|ransom","English",1996,6.6
"Due Date ","Comedy|Drama","Todd Phillips","Robert Downey Jr.","RZA","Matt Walsh","Color","actor|aspiring actor|birth|misadventure|suitcase","English",2010,6.6
"Focus ","Comedy|Crime|Drama|Romance","Glenn Ficarra","Will Smith","Adrian Martinez","Gerald McRaney","Color","con artist|con man|deception|rivalry|seduction","English",2015,6.6
"Wyatt Earp ","Adventure|Biography|Crime|Drama|Western","Lawrence Kasdan","Dennis Quaid","Catherine O'Hara","Isabella Rossellini","Color","historically inaccurate|name calling|penis slur|vomiting|wyatt earp","English",1994,6.6
"U-571 ","Action|War","Jonathan Mostow","Matthew McConaughey","Thomas Kretschmann","David Keith","Color","battle|historically inaccurate|submarine movie|u boat|world war two","English",2000,6.6
"Antz ","Adventure|Animation|Comedy|Family","Eric Darnell","Sylvester Stallone","Woody Allen","Anne Bancroft","Color","ant|friend|princess|soldier|worker","English",1998,6.6
"Contagion ","Drama|Thriller","Steven Soderbergh","Matt Damon","Monique Gabriela Curnen","Griffin Kane","Color","contagion|cure|infection|panic|virus","English",2011,6.6
"Joy ","Biography|Comedy|Drama","David O. Russell","Jennifer Lawrence","Robert De Niro","Bradley Cooper","Color","based on real person|female inventor|mop|sales pitch|woman holding a shotgun","English",2015,6.6
"Edge of Darkness ","Crime|Drama|Mystery|Thriller","Martin Campbell","Bojana Novakovic","Ray Winstone","Denis O'Hare","Color","activist|detective|father daughter relationship|investigation|vigilantism","English",2010,6.6
"Flyboys ","Action|Adventure|Drama|History|Romance|War","Tony Bill","James Franco","Tyler Labine","Philip Winchester"," Black and White","american|france|military|pilot|training","English",2006,6.6
"Sabrina, the Teenage Witch             ","Comedy|Family|Fantasy","","Nate Richert","Soleil Moon Frye","Caroline Rhea","Color","female protagonist|hereditary gift of witchcraft|magic|supernatural|witch","English",NA,6.6
"Pocahontas ","Adventure|Animation|Drama|Family|History|Musical|Romance","Mike Gabriel","Christian Bale","Frank Welker","Irene Bedard","Color","actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia","English",1995,6.6
"Hitch ","Comedy|Romance","Andy Tennant","Will Smith","Michael Rapaport","Kevin Sussman","Color","advice|friendship|gossip|newspaper|quitting a job","English",2005,6.6
"Shanghai Noon ","Action|Adventure|Comedy|Western","Tom Dey","Xander Berkeley","Jason Connery","Kate Luyben","Color","19th century|chinese|princess|rescue|travel","English",2000,6.6
"The Forbidden Kingdom ","Action|Adventure|Fantasy","Rob Minkoff","Jet Li","Thomas McDonell","Michael Angarano","Color","monkey king|staff|teenager|urination|warrior","English",2008,6.6
"Central Intelligence ","Action|Comedy|Crime","Rawson Marshall Thurber","Dwayne Johnson","Thomas Kretschmann","Megan Park","Color","accountant|blooper|espionage|facebook|high school reunion","English",2016,6.6
"Outbreak ","Action|Drama|Thriller","Wolfgang Petersen","Kevin Spacey","Morgan Freeman","Rene Russo","Color","disease|epidemic|monkey|quarantine|virus","English",1995,6.6
"Curious George ","Adventure|Animation|Comedy|Family","Matthew O'Callaghan","Will Ferrell","Frank Welker","Alexander Gould","Color","hat|monkey|museum|shrine|yellow","English",2006,6.6
"Silent Hill ","Adventure|Horror|Mystery","Christophe Gans","Radha Mitchell","Deborah Kara Unger","Alice Krige","Color","gothic|police|police officer|silent hill|sleepwalking","English",2006,6.6
"The Beach ","Adventure|Drama|Thriller","Danny Boyle","Leonardo DiCaprio","Virginie Ledoyen","Peter Youngblood Hills","Color","love|map|paradise|thailand|travel","English",2000,6.6
"Run All Night ","Action|Crime|Drama|Thriller","Jaume Collet-Serra","Liam Neeson","Common","Bruce McGill","Color","death|drug dealer|limousine|limousine driver|one night","English",2015,6.6
"Anna Karenina ","Drama|Romance","Joe Wright","Kelly Macdonald","Guro Nagelhus Schia","Matthew Macfadyen","Color","dance|infidelity|marriage|russia|russian","English",2012,6.6
"Courage Under Fire ","Action|Drama|Mystery|Thriller|War","Edward Zwick","Denzel Washington","Matt Damon","Scott Glenn","Color","bravery|honor|medal of honor|military life|unreliable flashback","English",1996,6.6
"Dune ","Action|Adventure|Sci-Fi","David Lynch","Virginia Madsen","Jürgen Prochnow","José Ferrer","Color","desert planet|dune|giant worm|space travel|spice","English",1984,6.6
"16 Blocks ","Action|Crime|Drama|Thriller","Richard Donner","Bruce Willis","David Zayas","Sasha Roiz","Color","alcoholic|courthouse|detective|jail|witness","English",2006,6.6
"The Mechanic ","Action|Crime|Thriller","Simon West","Jason Statham","Tony Goldwyn","Mini Anden","Color","apprentice|disobeying orders|gas station|hitman|nightclub","English",2011,6.6
"The Heat ","Action|Comedy|Crime","Paul Feig","Michael Rapaport","William Xifaras","Demián Bichir","Color","drug lord|fbi|fbi agent|hospital|shot in the crotch","English",2013,6.6
"Licence to Kill ","Action|Adventure|Thriller","John Glen","Robert Davi","Talisa Soto","Anthony Zerbe","Color","drug cartel|drug lord|james bond 007|personal vendetta|vengeance","English",1989,6.6
"The Interview ","Comedy","Evan Goldberg","James Franco","Randall Park","Anders Holm","Color","assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off","English",2014,6.6
"Man on a Ledge ","Action|Crime|Thriller","Asger Leth","Robert Clohessy","Mandy Gonzalez","J. Smith-Cameron","Color","detective|diamond|hotel|police|rooftop","English",2012,6.6
"Vantage Point ","Crime|Drama|Mystery|Thriller","Pete Travis","Dennis Quaid","Edgar Ramírez","William Hurt","Color","explosion|multiple perspectives|president|secret service|shooting","English",2008,6.6
"Secret Window ","Mystery|Thriller","David Koepp","Johnny Depp","Charles S. Dutton","Timothy Hutton","Color","adultery|extramarital affair|infidelity|unfaithfulness|writer","English",2004,6.6
"The Odd Life of Timothy Green ","Comedy|Drama|Family|Fantasy","Peter Hedges","Jennifer Garner","Odeya Rush","Common","Color","dodgeball|portrait|soccer|soccer game|young love","English",2012,6.6
